Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
600409 CH Equity,TANGSHAN SANYO-A,38.80M,66.5,1.08,--,1.63%,Materials,15.03B,1.50%,1.14%,41.40%,-56.26%,27.05,2.29
002170 CH Equity,SHENZHEN BATIA-A,38.79M,14.17,3.49,16.37,28.86%,Materials,12.80B,7.06%,19.16%,30.58%,280.45%,19.77,4.32
002928 CH Equity,CHINA EXPRESS -A,38.76M,18.84,2.75,--,15.74%,Industrials,10.95B,5.31%,2.95%,421.50%,31.65%,-14.98,0.87
300896 CH Equity,IMEIK TECHNOLO-A,38.51M,26.53,4.52,28.55,16.79%,Health Care,34.29B,3.77%,15.34%,3.10%,-63.61%,-36.98,-67.36
300618 CH Equity,NANJING HANRUI-A,38.44M,47.85,2.34,--,5.00%,Materials,13.12B,2.09%,3.83%,35.69%,-19.23%,-18.8,12.06
600125 CH Equity,CHINA RAILWAY -A,38.40M,15.84,1.09,17.4,7.05%,Industrials,8.32B,6.31%,6.48%,7.73%,-79.87%,1.72,0.31
688107 CH Equity,SHANGHAI ANLOG-A,38.19M,--,12.21,--,-25.24%,Information Technology,11.52B,-2.36%,-24.49%,6.03%,-70.83%,-4.64,1.33
002354 CH Equity,TIANYU DIGITAL-A,38.16M,--,7.32,912.3,-4.98%,Communication Services,9.40B,-0.71%,-3.25%,7.83%,-62.38%,-18.39,0.24
601607 CH Equity,SHANG PHARM -A,38.13M,6.75,0.51,16.19,7.76%,Health Care,57.25B,14.81%,3.70%,73.55%,34.11%,-6.34,-1.17
CICT SP Equity,CAPITALAND INTEG,38.09M,18.57,1.09,29.79,5.89%,Real Estate,17.84B,5.38%,4.62%,60.72%,14.49%,1.9,0.41
688116 CH Equity,JIANGSU CNANO -A,37.98M,52.25,3.77,1.48k,8.00%,Materials,14.25B,1.91%,5.87%,39.47%,2.55%,-35.45,1.79
300327 CH Equity,SINO WEALTH EL-A,37.96M,140.03,4.72,56.51,3.42%,Information Technology,8.44B,0.71%,1.28%,3.33%,-97.91%,-5.65,4
300685 CH Equity,AMOY DIAGNOSTI-A,37.90M,30.9,4.56,27.91,15.40%,Health Care,8.93B,3.24%,13.17%,5.18%,0.85%,-1.64,3.09
12 HK Equity,HENDERSON LAND D,37.89M,30.36,0.46,24.69,1.75%,Real Estate,147.76B,3.29%,1.38%,23.39%,-12.85%,11.63,12.63
301031 CH Equity,XI'AN SINOFUSE-A,37.86M,45.89,10.51,112.73,24.79%,Industrials,14.12B,2.18%,15.88%,64.03%,63.93%,21.74,74.9
SIA SP Equity,SINGAPORE AIRLIN,37.85M,17.84,1.32,--,7.39%,Industrials,20.98B,5.60%,--,66.84%,-69.11%,1.57,0.77
600515 CH Equity,HAINAN AIRPORT-A,37.62M,132.99,1.75,--,1.32%,Real Estate,41.25B,0.75%,0.96%,72.60%,-49.12%,-12.59,-0.12
688779 CH Equity,MINMETALS NEW EN,37.56M,--,2.94,22.64,-4.93%,Industrials,20.62B,-1.69%,-2.24%,76.97%,-63.27%,45.64,6.16
601890 CH Equity,ASIAN STAR-A,37.56M,33.06,2.68,81.13,8.27%,Industrials,9.92B,3.02%,6.06%,24.15%,-29.76%,4.34,1.82
002163 CH Equity,HAINAN DEVELOP-A,37.51M,--,15.33,208.22,-53.31%,Industrials,10.80B,-4.78%,-17.79%,199.84%,18.09%,30.14,4.92
002221 CH Equity,ORIENTAL ENERG-A,37.39M,32.42,1.13,--,3.55%,Energy,12.58B,3.08%,3.05%,180.15%,-79.05%,-6.34,-0.16
600353 CH Equity,CHENGDU XUGUAN-A,37.25M,76.18,6.49,--,8.70%,Information Technology,12.31B,1.31%,5.07%,27.69%,43.05%,-21.82,7.27
002705 CH Equity,GUANGDONG XINB-A,37.18M,10.88,1.42,20.84,13.45%,Consumer Discretionary,12.12B,9.19%,9.02%,46.42%,-0.41%,-5.93,2.76
002171 CH Equity,ANHUI TRUCHUM-A,37.18M,28.22,2.02,--,7.61%,Materials,18.14B,3.54%,4.46%,112.53%,54.92%,11.8,2.5
000680 CH Equity,SHANTUI CONST-A,37.16M,14.36,2.84,26.04,21.22%,Industrials,17.55B,6.97%,8.50%,122.13%,-4.05%,13.59,3.29
STE SP Equity,SINGAP TECH ENG,37.12M,77.19,13.86,33.52,17.65%,Industrials,35.75B,1.30%,6.95%,165.44%,37.69%,34.55,5
688327 CH Equity,CLOUDWALK TECH-A,36.91M,--,14.06,--,-44.56%,Information Technology,13.35B,-3.73%,-40.21%,60.39%,36.97%,-22.12,-0.46
600761 CH Equity,ANHUI HELI CO-A,36.43M,12.67,1.43,16.05,11.54%,Industrials,15.51B,7.89%,8.54%,28.26%,-89.24%,-19.35,2.57
300413 CH Equity,MANGO-A,36.36M,42.05,1.69,50.43,4.09%,Communication Services,39.15B,2.38%,3.72%,7.69%,-35.70%,-33.89,-6.58
300026 CH Equity,TIANJIN CHASE-A,36.36M,--,1.24,15.64,-0.76%,Health Care,10.69B,-0.62%,-0.75%,7.62%,2.10%,-4.81,0.23
600888 CH Equity,XINJIANG JOINW-A,36.35M,17.54,1.01,--,5.84%,Materials,12.97B,5.70%,2.05%,52.79%,-45.21%,-1.65,2.01
600635 CH Equity,SHANGHAI DAZHO-A,36.34M,19.79,0.92,24.22,4.76%,Utilities,14.45B,5.05%,0.17%,69.95%,--,-24.61,1.92
300180 CH Equity,HUAFON MICROFI-A,36.30M,157.26,2.24,19.25,1.43%,Materials,10.50B,0.64%,1.02%,13.74%,-59.71%,-19.57,-1.1
600072 CH Equity,CSSC SCIENCE &-A,36.28M,--,1.87,--,-11.91%,Industrials,18.07B,-6.71%,-4.99%,210.23%,-138.79%,-2.43,0.25
301219 CH Equity,GANZHOU TENG Y-A,36.26M,22.26,1.98,--,9.11%,Materials,18.54B,4.49%,7.70%,16.82%,43.02%,-16.02,20.64
002020 CH Equity,ZHEJIANG JINGX-A,36.23M,18.64,2.3,22.81,12.41%,Health Care,13.76B,5.36%,10.09%,9.76%,21.05%,-18.64,2.99
KEP SP Equity,KEPPEL LTD,36.22M,21.53,2.11,37.53,7.43%,Industrials,21.97B,4.65%,3.70%,102.23%,103.29%,32.31,6.65
600123 CH Equity,SHANXI LANHUA-A,35.93M,433.41,0.59,--,0.13%,Energy,9.30B,0.23%,-0.46%,102.00%,-72.08%,-6.66,-0.72
000049 CH Equity,SHENZHEN DESAY-A,35.23M,23.44,1.47,--,6.39%,Industrials,9.79B,4.27%,3.15%,70.16%,18.56%,-8.16,7.12
300580 CH Equity,WUXI BEST PREC-A,35.21M,43.21,3.66,--,8.72%,Consumer Discretionary,12.06B,2.31%,8.06%,0.96%,-27.82%,-14.01,-0.21
600509 CH Equity,XINJIANG TIANF-A,35.17M,82.27,1.36,--,1.66%,Utilities,10.61B,1.22%,2.08%,168.29%,-55.05%,-18.82,2.11
002736 CH Equity,GUOSEN SECURIT-A,35.16M,9.39,1.2,--,13.04%,Financials,116.35B,10.65%,3.29%,207.94%,77.11%,-19.7,2.25
601519 CH Equity,SHANGHAI DZH-A,35.16M,--,15.69,--,-3.18%,Financials,20.97B,-0.21%,-5.37%,3.94%,57.14%,-33.75,1.97
688660 CH Equity,SHANGHAI ELECT-A,35.12M,--,3.91,12.36,-21.38%,Industrials,17.19B,-5.75%,-9.17%,172.28%,30.19%,-39.43,6.18
001965 CH Equity,CHINA MERCHANT-A,35.10M,13.01,0.86,8.81,6.84%,Industrials,59.32B,7.69%,1.52%,62.09%,-1.68%,-12.44,-4.11
002036 CH Equity,LIANCHUANG ELE-A,34.95M,--,4.41,--,-18.50%,Information Technology,9.70B,-4.76%,-2.07%,350.67%,20.43%,-15.64,-0.27
600113 CH Equity,ZHEJIANG DON-A,34.92M,136.11,7.7,--,5.81%,Consumer Staples,19.65B,0.73%,4.62%,6.63%,51.48%,-18.4,33.53
688433 CH Equity,FARSOON TECHNO-A,34.91M,814.98,15.62,--,3.44%,Industrials,30.96B,0.12%,0.90%,6.62%,-25.19%,46.08,36.79
SGX SP Equity,SINGAPORE EXCH,34.84M,33.4,9.51,28.02,30.14%,Financials,21.73B,2.99%,21.23%,29.89%,5.53%,18.14,8.95
002416 CH Equity,SHENZHEN AISI-A,34.64M,41.68,2.82,5.48,6.66%,Information Technology,16.41B,2.40%,4.70%,40.84%,5.47%,5,2.33
600961 CH Equity,ZHUZHOU SMELTE-A,34.40M,19.72,5.28,13.33,25.04%,Materials,19.37B,5.07%,17.71%,42.88%,-32.63%,9.73,8.74
603360 CH Equity,DALIAN BAIAO-A,34.33M,86.03,12.66,406.14,13.50%,Materials,19.22B,1.16%,9.44%,53.90%,-63.03%,-1.09,7.87
000600 CH Equity,JOINTO ENERGY-A,34.28M,9.57,1.26,11.03,14.55%,Utilities,16.14B,10.45%,6.66%,108.36%,2.31k%,12.05,3.53
600328 CH Equity,CNSIG INNER MO-A,34.19M,4.82k,1.07,--,0.02%,Materials,12.83B,0.02%,-7.77%,45.04%,-94.80%,8.16,1.99
601878 CH Equity,ZHESHANG SECUR-A,34.03M,16.5,1.17,--,8.02%,Financials,43.22B,6.06%,2.95%,182.48%,30.13%,-18.42,-0.85
300101 CH Equity,CHENGDU CORPRO-A,33.75M,186.79,6.25,--,3.45%,Information Technology,11.63B,0.54%,2.94%,25.70%,22.18%,-12.97,4.22
000708 CH Equity,CITI PACIFIC S-A,33.71M,14.4,1.96,6.21,14.03%,Materials,85.35B,6.95%,7.73%,81.84%,48.38%,21.99,6.5
688789 CH Equity,HANGZHOU HONGH-A,33.56M,25.15,3.61,--,15.23%,Industrials,12.43B,3.98%,12.53%,18.66%,25.83%,-18.72,5.24
688552 CH Equity,AEROSPACE NANH-A,33.51M,672.7,4.83,--,0.69%,Industrials,12.54B,0.15%,-0.12%,0.29%,16.88%,-10.8,18.81
002779 CH Equity,ZHEJIANG ZHONG-A,33.42M,96.55,18.27,--,20.86%,Consumer Discretionary,16.66B,1.04%,0.53%,34.53%,457.97%,-30.63,35.82
688549 CH Equity,GRANDIT CO LTD-A,33.33M,2.59k,4.41,--,0.18%,Materials,13.44B,0.04%,-0.33%,14.62%,119.11%,-6.76,2.05
601858 CH Equity,CHINA SCIENCE -A,33.30M,33.64,3.22,36.62,9.88%,Communication Services,17.68B,2.97%,7.53%,0.42%,72.13%,13.62,3.73
600366 CH Equity,NINGBO YUNSHEN-A,33.28M,45.23,2.23,--,5.04%,Information Technology,13.65B,2.21%,2.41%,49.00%,1.03k%,-18.88,5.07
002859 CH Equity,ZHEJIANG JIEME-A,33.16M,90.56,5.99,--,6.68%,Materials,18.50B,1.10%,4.07%,112.52%,37.30%,34.19,25.59
603693 CH Equity,JIANGSU NEW EN-A,32.86M,31.79,1.74,53.73,5.61%,Utilities,12.08B,3.15%,3.02%,80.81%,1.98%,2.57,-0.73
002304 CH Equity,JIANGSU YANGHE-A,32.78M,36.33,1.55,53.03,4.06%,Consumer Staples,75.20B,2.75%,3.46%,0.33%,-67.51%,-26.21,-23.3
002488 CH Equity,ZHEJIANG JINGU-A,32.77M,339.53,3.39,--,0.85%,Consumer Discretionary,11.90B,0.29%,2.13%,74.03%,1.19%,-2.37,0.5
600586 CH Equity,SHANDONG JINJI-A,32.76M,--,1.35,--,-8.71%,Materials,7.40B,-6.85%,-5.39%,44.96%,-97.15%,3.98,0.6
600018 CH Equity,SH INTL PORT -A,32.59M,8.55,0.82,15.96,9.89%,Industrials,116.63B,11.69%,4.25%,30.28%,4.59%,-8.9,-0.39
600877 CH Equity,CETC CHIPS TEC-A,32.56M,971.46,7.71,193.54,0.80%,Information Technology,19.06B,0.10%,0.78%,2.10%,-77.93%,13.46,4.47
605123 CH Equity,WUXI PAIKE NEW-A,32.43M,46.4,2.56,140.38,5.62%,Materials,11.71B,2.15%,3.32%,46.59%,-22.60%,29.28,42.5
002941 CH Equity,XINJIANG COMMU-A,32.42M,17.82,2.44,--,14.48%,Industrials,11.45B,5.61%,4.72%,104.38%,81.18%,-19.54,4.84
600740 CH Equity,SHANXI COKING-A,32.26M,--,0.73,--,-0.26%,Materials,11.07B,-0.36%,-2.40%,60.98%,-54.13%,4.6,0.77
603193 CH Equity,RUNBEN BIOTECH-A,32.26M,33.13,4.66,45.77,14.49%,Consumer Staples,10.13B,3.02%,13.59%,0.08%,-16.90%,-10.64,-9.41
600783 CH Equity,LUXIN VENTURE -A,32.09M,89.18,3.27,311.38,3.59%,Materials,15.48B,1.12%,-0.22%,80.28%,193.13%,47.52,9.19
600812 CH Equity,NORTH CHINA PH-A,31.92M,52.07,1.74,--,3.37%,Health Care,9.57B,1.92%,2.76%,172.72%,5.89%,-7.15,-0.23
603267 CH Equity,BEIJING YUANLI-A,31.92M,45.57,2.57,139.45,5.77%,Information Technology,11.40B,2.19%,4.84%,11.89%,354.64%,-15.22,-10.66
301275 CH Equity,HANSHOW TECHNO-A,31.91M,30.15,4.55,36.78,17.55%,Information Technology,17.74B,3.32%,11.16%,34.53%,-27.64%,-23.44,-13.33
600416 CH Equity,XIANGTAN ELEC-A,31.68M,74.04,1.9,--,2.62%,Industrials,18.34B,1.35%,2.47%,39.96%,9.57%,-21.82,2.07
301078 CH Equity,KIDSWANT CHILD-A,31.67M,35.48,2.51,11.52,7.23%,Consumer Staples,10.69B,2.82%,5.76%,107.31%,67.12%,-21.34,-5.61
600651 CH Equity,SHANGHAI FEIL-A,31.54M,322.17,7.05,159.63,2.21%,Consumer Staples,17.75B,0.31%,0.00%,34.80%,84.97%,-17.1,3.22
002276 CH Equity,ZHEJIANG WANMA-A,31.46M,28.57,2.33,--,8.48%,Industrials,14.21B,3.50%,4.44%,129.96%,173.43%,-26.05,-0.43
603093 CH Equity,NANHUA FUTURES-A,31.26M,22,2.23,1.54,10.01%,Financials,11.73B,4.55%,8.40%,22.41%,36.18%,-16.55,7.7
000876 CH Equity,NEW HOPE LIUHE-A,31.22M,38.64,1.55,6.59,4.27%,Consumer Staples,37.60B,2.59%,1.90%,182.43%,-97.45%,-15.91,-2.27
600456 CH Equity,BAOJI TITANIUM-A,31.20M,46.84,2.3,--,4.98%,Materials,16.27B,2.14%,4.34%,41.67%,-26.35%,3.62,3.89
836 HK Equity,CHINA RES POWER,31.17M,6.74,0.88,--,13.80%,Utilities,97.90B,14.83%,5.38%,159.27%,20.59%,3.62,2.11
601636 CH Equity,ZHUZHOU KIBING-A,31.01M,25.95,1.12,--,4.37%,Industrials,17.13B,3.85%,2.62%,108.77%,12.79%,-19.02,0.4
002204 CH Equity,DALIAN HUARUI -A,30.98M,21.9,1.67,296.54,7.91%,Industrials,13.08B,4.57%,4.63%,67.60%,43.72%,3.36,1.07
603162 CH Equity,FUJIAN HIGHTON-A,30.96M,29.34,3.01,121.26,10.76%,Industrials,13.59B,3.41%,11.26%,13.47%,61.94%,59.89,5.65
002324 CH Equity,SHANGHAI PRET-A,30.91M,65.49,3.71,--,5.73%,Materials,16.99B,1.53%,3.10%,109.89%,98.69%,7.38,6.78
600179 CH Equity,ANTONG HOLDING-A,30.73M,17.34,1.59,20.7,9.60%,Industrials,18.83B,5.77%,8.46%,14.72%,-4.40%,21.58,1.61
600252 CH Equity,GUANGXI WUZHOU-A,30.63M,--,1.52,--,-6.27%,Health Care,8.18B,-4.37%,-5.80%,26.22%,12.25%,-6.88,0.27
300455 CH Equity,BEIJING AEROSP-A,30.62M,--,10.29,123.38,-10.22%,Industrials,17.13B,-1.05%,-8.34%,12.61%,-45.89%,32.68,11.33
300855 CH Equity,JIANGSU TOLAND-A,30.54M,120.21,8.18,268.8,6.70%,Materials,16.12B,0.83%,5.67%,17.68%,-54.22%,53.77,20.99
603599 CH Equity,ANHUI GUANGXIN-A,30.40M,18.02,1.34,527.77,7.45%,Materials,13.38B,5.55%,3.83%,40.15%,10.91%,21.09,4.25
002099 CH Equity,ZHEJIANG HISOA-A,30.28M,--,2.2,--,-6.33%,Health Care,11.53B,-2.89%,-5.64%,29.26%,-21.60%,21.71,2.36
6862 HK Equity,HAIDILAO INTERNA,30.27M,17.21,7.12,13.28,39.61%,Consumer Discretionary,81.77B,5.81%,24.49%,59.32%,-6.26%,14.07,-1.48
000810 CH Equity,SKYWORTH DIGIT-A,30.26M,75.98,2.09,--,2.78%,Information Technology,13.78B,1.32%,-0.20%,24.52%,-23.31%,-14.67,0.97
605020 CH Equity,ZHEJIANG YONGH-A,30.24M,20.07,2.15,--,13.06%,Materials,12.36B,4.98%,9.67%,15.69%,-14.32%,-20.99,4.21
002043 CH Equity,DEHUA TB NEW-A,30.20M,15.69,3.56,10.8,23.75%,Materials,11.44B,6.37%,19.65%,3.21%,-53.57%,22.25,4.22
688083 CH Equity,ZWSOFT CO LTD -A,30.19M,752.04,3.45,162.46,0.47%,Information Technology,8.96B,0.13%,0.17%,6.70%,-21.69%,-40.34,-10.19
601788 CH Equity,EVERBRIG SEC -A,30.19M,21.14,1.16,--,5.29%,Financials,64.62B,4.73%,1.82%,172.56%,-33.00%,-18.73,-0.64
301050 CH Equity,CHENGDU RML TE-A,30.17M,90.88,3.67,65.27,4.21%,Industrials,11.48B,1.10%,2.57%,2.32%,-78.55%,-2.84,-2.28
000758 CH Equity,CHINA NONFERRO-A,30.10M,24.41,2.25,44.08,9.43%,Materials,13.40B,4.10%,3.09%,52.10%,586.71%,-4.54,2.16
600436 CH Equity,ZHANGZHOU PIEN-A,30.01M,37.6,6.29,--,16.98%,Health Care,91.03B,2.66%,13.15%,7.21%,-54.13%,-23.02,-52.82
600361 CH Equity,INNOVATION NEW-A,29.94M,18.28,1.41,--,8.55%,Materials,15.60B,5.47%,5.21%,123.97%,47.42%,-4.13,0.49
688348 CH Equity,YUNENG TECHNOL-A,29.92M,142.97,2.25,--,1.57%,Industrials,8.24B,0.70%,-0.22%,8.47%,11.54%,-5.89,12.08
600894 CH Equity,GUANGZHOU GUAN-A,29.89M,12.33,0.94,10.97,7.79%,Industrials,8.47B,8.11%,1.10%,18.75%,53.06%,-0.37,-0.98
002745 CH Equity,MLS CO LTD-A,29.87M,56.62,0.96,--,1.68%,Information Technology,12.78B,1.77%,1.70%,28.79%,-19.02%,-6.31,0.98
600882 CH Equity,SHANGHAI MILKG-A,29.79M,79.88,2.09,98.72,2.64%,Consumer Staples,9.54B,1.25%,1.60%,60.71%,20.09k%,-23.69,-7.11
2 HK Equity,CLP HOLDINGS,29.68M,17.98,1.75,19.2,9.89%,Utilities,188.35B,5.56%,6.18%,52.79%,-25.43%,16.57,15.31
301029 CH Equity,DONGGUAN YIHED-A,29.66M,31.55,3.67,272.27,13.30%,Industrials,15.62B,3.17%,12.70%,0.41%,18.66%,-19.33,3.95
688006 CH Equity,ZHEJIANG HANGK-A,29.66M,50.68,3.1,53.45,6.24%,Industrials,16.98B,1.97%,2.71%,17.09%,-10.47%,-17.74,12.49
300034 CH Equity,GAONA AERO-A,29.61M,164.37,3.84,68.98,2.40%,Industrials,14.56B,0.61%,3.81%,41.97%,7.16%,11.33,2.46
2618 HK Equity,JD LOGISTICS INC,29.57M,11.92,1.53,5.7,12.08%,Industrials,96.42B,8.39%,7.76%,37.55%,3.63%,11.93,3.07
000970 CH Equity,BEIJING ZHONGK-A,29.53M,157.91,2.21,--,1.41%,Information Technology,14.56B,0.63%,1.15%,11.63%,-90.37%,-17.04,1
603218 CH Equity,RIYUE HEAVY IN-A,29.44M,25.8,1.4,89.53,5.45%,Industrials,14.30B,3.88%,4.15%,13.31%,100.03%,-7.4,3.02
600710 CH Equity,SUMEC CORP-A,29.42M,13.67,2.07,--,15.91%,Industrials,17.03B,7.31%,12.34%,81.92%,52.21%,24.93,4.94
601702 CH Equity,SHANGHAI HUAFO-A,29.40M,16.83,3.15,--,20.09%,Materials,20.28B,5.94%,14.47%,38.53%,-13.71%,16.26,2.73
000829 CH Equity,TELLING TELECO-A,29.39M,--,3.73,--,-1.58%,Information Technology,10.88B,-0.43%,-0.07%,587.58%,-3.65k%,8.27,1.16
300446 CH Equity,AEROSPACE INTE-A,29.16M,19.44,2.9,--,15.81%,Materials,17.13B,5.14%,12.74%,30.23%,-22.16%,19.11,2.26
600399 CH Equity,FUSHUN SPECIAL-A,29.07M,--,2.07,--,-13.57%,Materials,11.48B,-7.04%,-7.31%,81.40%,-103.20%,7.98,0.5
002534 CH Equity,XIZI CLEAN ENE-A,29.00M,31.14,2.66,21.42,4.04%,Industrials,14.20B,3.21%,3.22%,32.44%,1.72k%,-3.19,7.14
601777 CH Equity,CHONGQING AFAR-A,28.95M,545.79,4.47,28.09,0.81%,Consumer Discretionary,46.02B,0.18%,-1.72%,20.59%,421.36%,-13.8,2.4
301153 CH Equity,BEIJING CTJ IN-A,28.94M,85.97,4.69,62.66,5.60%,Information Technology,8.66B,1.16%,3.74%,0.19%,136.90%,9.31,0.27
002747 CH Equity,ESTUN AUTOMA-A,28.89M,387.18,8.9,220.13,2.40%,Industrials,18.52B,0.26%,1.55%,202.41%,99.52%,-21.16,2.15
688303 CH Equity,XINJIANG DAQO -A,28.76M,--,1.12,--,-6.65%,Information Technology,43.81B,-6.17%,-6.67%,1.14%,43.61%,-26.12,2.29
600458 CH Equity,ZHUZHOU TIMES -A,28.53M,19.41,1.35,8.83,7.33%,Materials,10.69B,5.15%,5.93%,60.17%,-62.84%,-27.54,0.01
600061 CH Equity,SDIC CAPITAL-A,28.44M,13.36,0.82,3.64,6.37%,Financials,43.29B,7.48%,0.11%,153.55%,-45.29%,-14.95,0.15
600572 CH Equity,ZHEJIANG CONBA-A,28.44M,16.2,1.58,12.72,10.03%,Health Care,11.19B,6.17%,8.39%,8.62%,38.21%,-0.23,0.18
600025 CH Equity,HUANENG LANCAN-A,28.38M,20.39,2.6,--,13.59%,Utilities,178.67B,4.91%,5.67%,134.92%,-5.86%,-1.54,0.42
603690 CH Equity,PNC PROCESS SY-A,28.26M,--,1.91,--,-1.69%,Industrials,9.60B,-0.87%,-1.22%,122.46%,-66.09%,-24.96,-4.54
603169 CH Equity,LANZHOU LS HEA-A,28.25M,183.32,3.92,--,2.16%,Industrials,12.98B,0.55%,1.67%,155.47%,19.22%,15.05,0.24
000795 CH Equity,INNUOVO TECHNO-A,28.17M,42.15,3.98,83.09,9.37%,Materials,10.88B,2.37%,7.69%,15.90%,-16.35%,-12.65,-1.87
688016 CH Equity,SHANGHAI MICRO-A,28.10M,21.96,2.99,43.34,14.32%,Health Care,12.43B,4.55%,13.26%,0.37%,-20.25%,-7.66,14.86
603279 CH Equity,JINGJIN EQUIPM-A,28.09M,17.13,2.25,11.55,13.19%,Industrials,10.60B,5.84%,11.80%,14.81%,-47.48%,16.58,3.49
600267 CH Equity,ZHEJIANG HISUN-A,28.01M,22.54,1.38,9.2,6.38%,Health Care,12.31B,4.44%,5.13%,36.34%,-23.65%,-3.11,1.83
002053 CH Equity,YUNNAN ENERGY -A,27.97M,43.79,1.4,--,3.19%,Consumer Staples,10.35B,2.28%,2.10%,95.74%,-84.31%,-11.15,0.6
301363 CH Equity,MEHOW INNOVATI-A,27.97M,46.18,3.94,--,8.86%,Health Care,14.57B,2.17%,6.93%,1.71%,4.70%,8.1,8.52
000778 CH Equity,XINXING DUCTIL-A,27.91M,19.42,0.7,12.67,3.66%,Materials,18.39B,5.15%,0.83%,53.45%,8.58%,16.58,1.2
603033 CH Equity,SANWEI HOLDING-A,27.89M,--,3.97,--,-9.88%,Materials,11.56B,-2.78%,-2.73%,192.25%,-1.50k%,-3.61,0.15
WIL SP Equity,WILMAR INTERNATI,27.87M,13.64,0.88,14.74,6.76%,Consumer Staples,24.47B,7.33%,3.29%,124.15%,-36.14%,33.33,0.84
688515 CH Equity,MOTORCOMM ELEC-A,27.81M,--,6.77,--,-11.96%,Information Technology,10.24B,-1.86%,-11.84%,1.23%,-7.46%,11.31,30.59
600120 CH Equity,ZHEJIANG ORIEN-A,27.72M,14.21,1.15,21.75,8.24%,Financials,19.19B,7.04%,-2.72%,74.93%,3.16%,-10.63,0.08
300080 CH Equity,HENAN YICHENG -A,27.71M,--,1.77,--,-14.04%,Materials,8.56B,-8.38%,-5.32%,80.85%,67.23%,-16.45,1.21
300130 CH Equity,XGD INC-A,27.62M,28.09,2.98,33.6,10.90%,Information Technology,13.10B,3.56%,8.77%,4.33%,-30.27%,-16.64,2.68
603297 CH Equity,NINGBO YONGXIN-A,27.50M,56.35,6.18,62,11.37%,Information Technology,12.34B,1.77%,8.33%,9.34%,6.04%,-1.43,31.49
002145 CH Equity,TINERGY CHEMIC-A,27.48M,38.44,1.44,74.35,3.61%,Materials,17.36B,2.60%,1.76%,48.84%,-42.24%,-25,0.53
300761 CH Equity,JIANGSU LIHUA FO,27.36M,26.69,1.93,47.51,7.31%,Consumer Staples,17.44B,3.75%,5.92%,38.34%,-77.97%,-9.24,-0.64
002017 CH Equity,EASTCOMPEACE -A,27.33M,60.53,6.27,165.73,10.63%,Information Technology,11.10B,1.65%,8.23%,5.87%,-19.34%,-16.03,10.89
300098 CH Equity,GOSUNCN TECHNO-A,27.29M,--,3.42,--,-4.59%,Information Technology,9.30B,-1.37%,-4.78%,10.25%,91.35%,-5.64,0.83
002338 CH Equity,CHANGCHUN UP-A,27.21M,206.69,9.06,--,4.45%,Industrials,12.33B,0.48%,2.55%,26.91%,-35.86%,-11.63,12.79
002097 CH Equity,SUNWARD INTELL-A,27.16M,80.35,2.31,--,2.91%,Industrials,10.83B,1.24%,0.61%,235.05%,-404.09%,-23.23,3.53
300576 CH Equity,SHENZHEN RONGD-A,27.15M,106.31,7.55,--,7.65%,Materials,12.77B,0.94%,7.15%,4.37%,-8.21%,-10.73,0.96
728 HK Equity,CHINA TELECOM-H,27.15M,11.82,0.86,7.57,7.27%,Communication Services,579.91B,8.46%,5.79%,12.64%,2.82k%,-10.31,-0.57
002588 CH Equity,STANLEY AGRICU-A,26.95M,12.57,1.68,--,13.99%,Materials,12.27B,7.95%,7.90%,35.71%,32.85%,12.34,3.37
600575 CH Equity,HUAIHE ENERGY -A,26.82M,10.19,1.22,--,7.72%,Industrials,26.73B,9.82%,4.37%,69.66%,-38.29%,8.75,0.23
6 HK Equity,POWER ASSETS,26.79M,21.9,1.51,27.33,7.01%,Utilities,136.71B,4.57%,0.50%,3.66%,2.60%,30.44,21.38
601311 CH Equity,CAMEL GROUP CO-A,26.71M,14.96,1.13,19.16,7.73%,Industrials,11.12B,6.68%,5.13%,28.79%,-44.18%,-13.11,2.98
600446 CH Equity,SHENZHEN KINGD-A,26.68M,--,3.26,15.82,-3.87%,Information Technology,12.00B,-1.17%,-2.36%,15.75%,48.23%,-29.44,-2.1
600085 CH Equity,BEIJING TONGRE-A,26.55M,31.84,2.77,16.3,8.86%,Health Care,37.89B,3.14%,6.26%,17.30%,-97.85%,-20.05,-8.75
002125 CH Equity,XIANGTAN ELEC -A,26.29M,35.53,2.66,61.64,7.59%,Materials,8.22B,2.81%,3.79%,49.31%,-64.99%,-13.12,4.11
3 HK Equity,HONG KG CHINA GS,26.23M,24,2.3,13.69,9.74%,Utilities,136.59B,4.17%,4.76%,83.77%,-23.39%,5.17,1.06
002091 CH Equity,JIANGSU GUOTAI-A,26.21M,12.78,0.91,18.63,7.26%,Industrials,14.76B,7.82%,5.08%,54.88%,-3.16%,2.75,3.03
600039 CH Equity,SICHUAN ROAD-A,26.18M,10.64,1.65,24.81,16.26%,Industrials,81.83B,9.40%,6.64%,143.56%,59.76%,17.17,1.21
300628 CH Equity,YEALINK NETWOR-A,26.00M,17.11,5.02,20.82,29.95%,Information Technology,43.55B,5.84%,26.86%,0.11%,-18.31%,-7.08,2.63
